"SL No","Question Name","Rating","Tag","URL","Solved"
"418","Minimum Number of Taps to Open to Water a Garden","3","Hard","https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/","No"
"419","Delete Leaves With a Given Value","2","Medium","https://leetcode.com/problems/delete-leaves-with-a-given-value/","No"
"420","Print Words Vertically","2","Medium","https://leetcode.com/problems/print-words-vertically/","No"
"421","Maximum 69 Number","1","Easy","https://leetcode.com/problems/maximum-69-number/","No"
"422","Jump Game IV","3","Hard","https://leetcode.com/problems/jump-game-iv/","No"
"423","Angle Between Hands of a Clock","2","Medium","https://leetcode.com/problems/angle-between-hands-of-a-clock/","No"
"424","Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold","2","Medium","https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/","Yes"
"425","Number of Steps to Reduce a Number to Zero","1","Easy","https://leetcode.com/problems/number-of-steps-to-reduce-a-number-to-zero/","No"
"426","Minimum Distance to Type a Word Using Two Fingers","3","Hard","https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers/","No"
"427","Number of Operations to Make Network Connected","2","Medium","https://leetcode.com/problems/number-of-operations-to-make-network-connected/","Yes"
"428","Minimum Flips to Make a OR b Equal to c","2","Medium","https://leetcode.com/problems/minimum-flips-to-make-a-or-b-equal-to-c/","No"
"429","Convert Integer to the Sum of Two No-Zero Integers","1","Easy","https://leetcode.com/problems/convert-integer-to-the-sum-of-two-no-zero-integers/","No"
"430","Minimum Insertion Steps to Make a String Palindrome","3","Hard","https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/","No"
"431","Get Watched Videos by Your Friends","2","Medium","https://leetcode.com/problems/get-watched-videos-by-your-friends/","No"
"432","XOR Queries of a Subarray","2","Medium","https://leetcode.com/problems/xor-queries-of-a-subarray/","No"
"433","Decrypt String from Alphabet to Integer Mapping","1","Easy","https://leetcode.com/problems/decrypt-string-from-alphabet-to-integer-mapping/","No"
"434","Verbal Arithmetic Puzzle","3","Hard","https://leetcode.com/problems/verbal-arithmetic-puzzle/","No"
"435","Jump Game III","2","Medium","https://leetcode.com/problems/jump-game-iii/","No"
"436","All Elements in Two Binary Search Trees","2","Medium","https://leetcode.com/problems/all-elements-in-two-binary-search-trees/","No"
"437","Find N Unique Integers Sum up to Zero","1","Easy","https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero/","No"
"438","Maximum Candies You Can Get from Boxes","3","Hard","https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes/","No"
"439","Maximum Number of Occurrences of a Substring","2","Medium","https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/","No"
"440","Divide Array in Sets of K Consecutive Numbers","2","Medium","https://leetcode.com/problems/divide-array-in-sets-of-k-consecutive-numbers/","No"
"441","Find Numbers with Even Number of Digits","1","Easy","https://leetcode.com/problems/find-numbers-with-even-number-of-digits/","No"
"442","Shortest Path in a Grid with Obstacles Elimination","3","Hard","https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/","No"
"443","Maximum Side Length of a Square with Sum Less than or Equal to Threshold","2","Medium","https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold/","No"
"444","Convert Binary Number in a Linked List to Integer","1","Easy","https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/","Yes"
"445","Minimum Number of Flips to Convert Binary Matrix to Zero Matrix","3","Hard","https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix/","No"
"446","Find the Smallest Divisor Given a Threshold","2","Medium","https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold/","No"
"447","Group the People Given the Group Size They Belong To","2","Medium","https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/","Yes"
"448","Subtract the Product and Sum of Digits of an Integer","1","Easy","https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer/","No"
"449","Palindrome Partitioning III","3","Hard","https://leetcode.com/problems/palindrome-partitioning-iii/","No"
"450","Count Square Submatrices with All Ones","2","Medium","https://leetcode.com/problems/count-square-submatrices-with-all-ones/","No"
"451","Number of Burgers with No Waste of Ingredients","2","Medium","https://leetcode.com/problems/number-of-burgers-with-no-waste-of-ingredients/","No"
"452","Find Winner on a Tic Tac Toe Game","1","Easy","https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game/","No"
"453","Number of Ways to Stay in the Same Place After Some Steps","3","Hard","https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps/","No"
"454","Search Suggestions System","2","Medium","https://leetcode.com/problems/search-suggestions-system/","No"
"455","Count Servers that Communicate","2","Medium","https://leetcode.com/problems/count-servers-that-communicate/","No"
"456","Minimum Time Visiting All Points","1","Easy","https://leetcode.com/problems/minimum-time-visiting-all-points/","No"
"457","Minimum Moves to Move a Box to Their Target Location","3","Hard","https://leetcode.com/problems/minimum-moves-to-move-a-box-to-their-target-location/","No"
"458","Greatest Sum Divisible by Three","2","Medium","https://leetcode.com/problems/greatest-sum-divisible-by-three/","No"
"459","Find Elements in a Contaminated Binary Tree","2","Medium","https://leetcode.com/problems/find-elements-in-a-contaminated-binary-tree/","No"
"460","Shift 2D Grid","1","Easy","https://leetcode.com/problems/shift-2d-grid/","No"
"461","Maximum Score Words Formed by Letters","3","Hard","https://leetcode.com/problems/maximum-score-words-formed-by-letters/","No"
"462","Number of Closed Islands","2","Medium","https://leetcode.com/problems/number-of-closed-islands/","No"
"463","Reconstruct a 2-Row Binary Matrix","2","Medium","https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix/","No"
"464","Cells with Odd Values in a Matrix","1","Easy","https://leetcode.com/problems/cells-with-odd-values-in-a-matrix/","No"
"465","Check If It Is a Good Array","3","Hard","https://leetcode.com/problems/check-if-it-is-a-good-array/","No"
"466","Minimum Remove to Make Valid Parentheses","2","Medium","https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/","No"
"467","Count Number of Nice Subarrays","2","Medium","https://leetcode.com/problems/count-number-of-nice-subarrays/","No"
"468","Minimum Swaps to Make Strings Equal","2","Medium","https://leetcode.com/problems/minimum-swaps-to-make-strings-equal/","No"
"469","Maximum Height by Stacking Cuboids ","3","Hard","https://leetcode.com/problems/maximum-height-by-stacking-cuboids/","No"
"470","Tuple with Same Product","2","Medium","https://leetcode.com/problems/tuple-with-same-product/","No"
"471","Airplane Seat Assignment Probability","2","Medium","https://leetcode.com/problems/airplane-seat-assignment-probability/","No"
"472","Tiling a Rectangle with the Fewest Squares","3","Hard","https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares/","No"
"473","Maximum Length of a Concatenated String with Unique Characters","2","Medium","https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/","No"
"474","Circular Permutation in Binary Representation","2","Medium","https://leetcode.com/problems/circular-permutation-in-binary-representation/","No"
"475","Find Positive Integer Solution for a Given Equation","2","Medium","https://leetcode.com/problems/find-positive-integer-solution-for-a-given-equation/","Yes"
"476","Maximum Profit in Job Scheduling","3","Hard","https://leetcode.com/problems/maximum-profit-in-job-scheduling/","No"
"477","Replace the Substring for Balanced String","2","Medium","https://leetcode.com/problems/replace-the-substring-for-balanced-string/","No"
"478","Remove Sub-Folders from the Filesystem","2","Medium","https://leetcode.com/problems/remove-sub-folders-from-the-filesystem/","No"
"479","Check If It Is a Straight Line","1","Easy","https://leetcode.com/problems/check-if-it-is-a-straight-line/","Yes"
"480","Maximum Equal Frequency","3","Hard","https://leetcode.com/problems/maximum-equal-frequency/","No"
"481","Dice Roll Simulation","3","Hard","https://leetcode.com/problems/dice-roll-simulation/","No"
"482","Queens That Can Attack the King","2","Medium","https://leetcode.com/problems/queens-that-can-attack-the-king/","No"
"483","Split a String in Balanced Strings","1","Easy","https://leetcode.com/problems/split-a-string-in-balanced-strings/","No"
"484","Design Skiplist","3","Hard","https://leetcode.com/problems/design-skiplist/","No"
"485","Count Vowels Permutation","3","Hard","https://leetcode.com/problems/count-vowels-permutation/","No"
"486","Path with Maximum Gold","2","Medium","https://leetcode.com/problems/path-with-maximum-gold/","No"
"487","Longest Arithmetic Subsequence of Given Difference","2","Medium","https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference/","No"
"488","Minimum Cost to Move Chips to The Same Position","1","Easy","https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position/","No"
"489","Sum of Floored Pairs","3","Hard","https://leetcode.com/problems/sum-of-floored-pairs/","No"
"490","Path with Maximum Probability","2","Medium","https://leetcode.com/problems/path-with-maximum-probability/","No"
"491","Where Will the Ball Fall","2","Medium","https://leetcode.com/problems/where-will-the-ball-fall/","No"
"492","Minimum Moves to Reach Target with Rotations","3","Hard","https://leetcode.com/problems/minimum-moves-to-reach-target-with-rotations/","No"
"493","Get Equal Substrings Within Budget","2","Medium","https://leetcode.com/problems/get-equal-substrings-within-budget/","No"
"494","Remove All Adjacent Duplicates in String II","2","Medium","https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/","No"
"495","Unique Number of Occurrences","1","Easy","https://leetcode.com/problems/unique-number-of-occurrences/","No"
"496","Largest Magic Square","2","Medium","https://leetcode.com/problems/largest-magic-square/","No"
"497","Sort Items by Groups Respecting Dependencies","3","Hard","https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies/","No"
"498","Smallest String With Swaps","2","Medium","https://leetcode.com/problems/smallest-string-with-swaps/","No"
"499","Ugly Number III","2","Medium","https://leetcode.com/problems/ugly-number-iii/","No"
"500","Minimum Absolute Difference","1","Easy","https://leetcode.com/problems/minimum-absolute-difference/","No"
"501","Longest Happy String","2","Medium","https://leetcode.com/problems/longest-happy-string/","No"
"502","Critical Connections in a Network","3","Hard","https://leetcode.com/problems/critical-connections-in-a-network/","No"
"503","K-Concatenation Maximum Sum","2","Medium","https://leetcode.com/problems/k-concatenation-maximum-sum/","No"
"504","Reverse Substrings Between Each Pair of Parentheses","2","Medium","https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/","No"
"505","Maximum Number of Balloons","1","Easy","https://leetcode.com/problems/maximum-number-of-balloons/","No"
"506","Kth Ancestor of a Tree Node","3","Hard","https://leetcode.com/problems/kth-ancestor-of-a-tree-node/","No"
"507","Three Consecutive Odds","1","Easy","https://leetcode.com/problems/three-consecutive-odds/","No"
"508","Make Array Strictly Increasing","3","Hard","https://leetcode.com/problems/make-array-strictly-increasing/","No"
"509","Day of the Week","1","Easy","https://leetcode.com/problems/day-of-the-week/","No"
"510","Maximum Subarray Sum with One Deletion","2","Medium","https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion/","No"
"511","Distance Between Bus Stops","1","Easy","https://leetcode.com/problems/distance-between-bus-stops/","No"
"512","Constrained Subsequence Sum","3","Hard","https://leetcode.com/problems/constrained-subsequence-sum/","No"
"513","Balance a Binary Search Tree","2","Medium","https://leetcode.com/problems/balance-a-binary-search-tree/","Yes"
"514","Four Divisors","2","Medium","https://leetcode.com/problems/four-divisors/","No"
"515","Reformat Date","1","Easy","https://leetcode.com/problems/reformat-date/","No"
"516","Number of Valid Words for Each Puzzle","3","Hard","https://leetcode.com/problems/number-of-valid-words-for-each-puzzle/","No"
"517","Can Make Palindrome from Substring","2","Medium","https://leetcode.com/problems/can-make-palindrome-from-substring/","No"
"518","Prime Arrangements","1","Easy","https://leetcode.com/problems/prime-arrangements/","No"
"519","Largest Multiple of Three","3","Hard","https://leetcode.com/problems/largest-multiple-of-three/","No"
"520","Closest Divisors","2","Medium","https://leetcode.com/problems/closest-divisors/","No"
"521","Validate Binary Tree Nodes","2","Medium","https://leetcode.com/problems/validate-binary-tree-nodes/","No"
"522","Number of Days Between Two Dates","1","Easy","https://leetcode.com/problems/number-of-days-between-two-dates/","No"
"523","Compare Strings by Frequency of the Smallest Character","2","Medium","https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character/","No"
"524","Invalid Transactions","2","Medium","https://leetcode.com/problems/invalid-transactions/","No"
"525","Dinner Plate Stacks","3","Hard","https://leetcode.com/problems/dinner-plate-stacks/","No"
"526","Remove Zero Sum Consecutive Nodes from Linked List","2","Medium","https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list/","No"
"527","Number of Dice Rolls With Target Sum","2","Medium","https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/","No"
"528","Online Majority Element In Subarray","3","Hard","https://leetcode.com/problems/online-majority-element-in-subarray/","No"
"529","Swap For Longest Repeated Character Substring","2","Medium","https://leetcode.com/problems/swap-for-longest-repeated-character-substring/","No"
"530","Day of the Year","1","Easy","https://leetcode.com/problems/day-of-the-year/","No"
"531","Rank Transform of a Matrix","3","Hard","https://leetcode.com/problems/rank-transform-of-a-matrix/","No"
"532","Rank Transform of an Array","1","Easy","https://leetcode.com/problems/rank-transform-of-an-array/","No"
"533","Reverse Subarray To Maximize Array Value","3","Hard","https://leetcode.com/problems/reverse-subarray-to-maximize-array-value/","No"
"534","Deepest Leaves Sum","2","Medium","https://leetcode.com/problems/deepest-leaves-sum/","No"
"535","Sort the Matrix Diagonally","2","Medium","https://leetcode.com/problems/sort-the-matrix-diagonally/","No"
"536","Break a Palindrome","2","Medium","https://leetcode.com/problems/break-a-palindrome/","No"
"537","Longest Chunked Palindrome Decomposition","3","Hard","https://leetcode.com/problems/longest-chunked-palindrome-decomposition/","No"
"538","Longest Common Subsequence","2","Medium","https://leetcode.com/problems/longest-common-subsequence/","Yes"
"539","Snapshot Array","2","Medium","https://leetcode.com/problems/snapshot-array/","No"
"540","Binary Tree Coloring Game","2","Medium","https://leetcode.com/problems/binary-tree-coloring-game/","No"
"541","Decrease Elements To Make Array Zigzag","2","Medium","https://leetcode.com/problems/decrease-elements-to-make-array-zigzag/","No"
"542","Distinct Echo Substrings","3","Hard","https://leetcode.com/problems/distinct-echo-substrings/","No"
"543","Sum of Nodes with Even-Valued Grandparent","2","Medium","https://leetcode.com/problems/sum-of-nodes-with-even-valued-grandparent/","No"
"544","Matrix Block Sum","2","Medium","https://leetcode.com/problems/matrix-block-sum/","No"
"545","Decompress Run-Length Encoded List","1","Easy","https://leetcode.com/problems/decompress-run-length-encoded-list/","No"
"546","Stone Game II","2","Medium","https://leetcode.com/problems/stone-game-ii/","No"
"547","Largest 1-Bordered Square","2","Medium","https://leetcode.com/problems/largest-1-bordered-square/","No"
"548","Alphabet Board Path","2","Medium","https://leetcode.com/problems/alphabet-board-path/","No"
"549","N-th Tribonacci Number","1","Easy","https://leetcode.com/problems/n-th-tribonacci-number/","No"
"550","Number of Paths with Max Score","3","Hard","https://leetcode.com/problems/number-of-paths-with-max-score/","No"
"551","Sum of Mutated Array Closest to Target","2","Medium","https://leetcode.com/problems/sum-of-mutated-array-closest-to-target/","No"
"552","Replace Elements with Greatest Element on Right Side","1","Easy","https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side/","No"
"553","Maximum of Absolute Value Expression","2","Medium","https://leetcode.com/problems/maximum-of-absolute-value-expression/","No"
"554","Shortest Path with Alternating Colors","2","Medium","https://leetcode.com/problems/shortest-path-with-alternating-colors/","No"
"555","Minimum Cost Tree From Leaf Values","2","Medium","https://leetcode.com/problems/minimum-cost-tree-from-leaf-values/","No"
"556","Number of Equivalent Domino Pairs","1","Easy","https://leetcode.com/problems/number-of-equivalent-domino-pairs/","No"
"557","Minimum Falling Path Sum II","3","Hard","https://leetcode.com/problems/minimum-falling-path-sum-ii/","No"
"558","Graph Connectivity With Threshold","3","Hard","https://leetcode.com/problems/graph-connectivity-with-threshold/","No"
"559","Remove Covered Intervals","2","Medium","https://leetcode.com/problems/remove-covered-intervals/","No"
"560","Element Appearing More Than 25% In Sorted Array","1","Easy","https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/","No"
"561","Smallest Sufficient Team","3","Hard","https://leetcode.com/problems/smallest-sufficient-team/","No"
"562","Longest Well-Performing Interval","2","Medium","https://leetcode.com/problems/longest-well-performing-interval/","No"
"563","Lowest Common Ancestor of Deepest Leaves","2","Medium","https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves/","No"
"564","Relative Sort Array","1","Easy","https://leetcode.com/problems/relative-sort-array/","No"
"565","Sequential Digits","2","Medium","https://leetcode.com/problems/sequential-digits/","No"
"566","Iterator for Combination","2","Medium","https://leetcode.com/problems/iterator-for-combination/","No"
"567","Mean of Array After Removing Some Elements","1","Easy","https://leetcode.com/problems/mean-of-array-after-removing-some-elements/","No"
"568","Maximum Nesting Depth of Two Valid Parentheses Strings","2","Medium","https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings/","No"
"569","Delete Nodes And Return Forest","2","Medium","https://leetcode.com/problems/delete-nodes-and-return-forest/","No"
"570","Corporate Flight Bookings","2","Medium","https://leetcode.com/problems/corporate-flight-bookings/","No"
"571","Defanging an IP Address","1","Easy","https://leetcode.com/problems/defanging-an-ip-address/","No"
"572","Parsing A Boolean Expression","3","Hard","https://leetcode.com/problems/parsing-a-boolean-expression/","No"
"573","Filling Bookcase Shelves","2","Medium","https://leetcode.com/problems/filling-bookcase-shelves/","No"
"574","Distribute Candies to People","1","Easy","https://leetcode.com/problems/distribute-candies-to-people/","No"
"575","Path In Zigzag Labelled Binary Tree","2","Medium","https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree/","No"
"576","Brace Expansion II","3","Hard","https://leetcode.com/problems/brace-expansion-ii/","No"
"577","Find in Mountain Array","3","Hard","https://leetcode.com/problems/find-in-mountain-array/","No"
"578","Car Pooling","2","Medium","https://leetcode.com/problems/car-pooling/","No"
"579","Statistics from a Large Sample","2","Medium","https://leetcode.com/problems/statistics-from-a-large-sample/","No"
"580","Shortest Path in Binary Matrix","2","Medium","https://leetcode.com/problems/shortest-path-in-binary-matrix/","No"
"581","Shortest Common Supersequence ","3","Hard","https://leetcode.com/problems/shortest-common-supersequence/","No"
"582","Largest Values From Labels","2","Medium","https://leetcode.com/problems/largest-values-from-labels/","No"
"583","Duplicate Zeros","1","Easy","https://leetcode.com/problems/duplicate-zeros/","No"
"584","Letter Tile Possibilities","2","Medium","https://leetcode.com/problems/letter-tile-possibilities/","No"
"585","Smallest Subsequence of Distinct Characters","2","Medium","https://leetcode.com/problems/smallest-subsequence-of-distinct-characters/","No"
"586","Insufficient Nodes in Root to Leaf Paths","2","Medium","https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths/","No"
"587","Occurrences After Bigram","1","Easy","https://leetcode.com/problems/occurrences-after-bigram/","No"
"588","Adding Two Negabinary Numbers","2","Medium","https://leetcode.com/problems/adding-two-negabinary-numbers/","No"
"589","Flip Columns For Maximum Number of Equal Rows","2","Medium","https://leetcode.com/problems/flip-columns-for-maximum-number-of-equal-rows/","No"
"590","Greatest Common Divisor of Strings","1","Easy","https://leetcode.com/problems/greatest-common-divisor-of-strings/","No"
"591","Number of Submatrices That Sum to Target","3","Hard","https://leetcode.com/problems/number-of-submatrices-that-sum-to-target/","No"
"592","Distant Barcodes","2","Medium","https://leetcode.com/problems/distant-barcodes/","No"
"593","Previous Permutation With One Swap","2","Medium","https://leetcode.com/problems/previous-permutation-with-one-swap/","No"
"594","Grumpy Bookstore Owner","2","Medium","https://leetcode.com/problems/grumpy-bookstore-owner/","No"
"595","Height Checker","1","Easy","https://leetcode.com/problems/height-checker/","No"
"596","Last Substring in Lexicographical Order","3","Hard","https://leetcode.com/problems/last-substring-in-lexicographical-order/","No"
"597","Last Stone Weight II","2","Medium","https://leetcode.com/problems/last-stone-weight-ii/","No"
"598","Longest String Chain","2","Medium","https://leetcode.com/problems/longest-string-chain/","No"
"599","Remove All Adjacent Duplicates In String","1","Easy","https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/","No"
"600","Last Stone Weight","1","Easy","https://leetcode.com/problems/last-stone-weight/","No"
"601","Longest Duplicate Substring","3","Hard","https://leetcode.com/problems/longest-duplicate-substring/","No"
"602","Partition Array for Maximum Sum","2","Medium","https://leetcode.com/problems/partition-array-for-maximum-sum/","No"
"603","Flower Planting With No Adjacent","2","Medium","https://leetcode.com/problems/flower-planting-with-no-adjacent/","No"
"604","Robot Bounded In Circle","2","Medium","https://leetcode.com/problems/robot-bounded-in-circle/","No"
"605","As Far from Land as Possible","2","Medium","https://leetcode.com/problems/as-far-from-land-as-possible/","No"
"606","Maximum Level Sum of a Binary Tree","2","Medium","https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree/","No"
"607","Valid Boomerang","1","Easy","https://leetcode.com/problems/valid-boomerang/","Yes"
"608","Binary Search Tree to Greater Sum Tree","2","Medium","https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree/","Yes"
"609","Moving Stones Until Consecutive II","2","Medium","https://leetcode.com/problems/moving-stones-until-consecutive-ii/","No"
"610","Find Words That Can Be Formed by Characters","1","Easy","https://leetcode.com/problems/find-words-that-can-be-formed-by-characters/","No"
"611","Minimum Score Triangulation of Polygon","2","Medium","https://leetcode.com/problems/minimum-score-triangulation-of-polygon/","No"
"612","Escape a Large Maze","3","Hard","https://leetcode.com/problems/escape-a-large-maze/","No"
"613","Uncrossed Lines","2","Medium","https://leetcode.com/problems/uncrossed-lines/","No"
"614","Coloring A Border","2","Medium","https://leetcode.com/problems/coloring-a-border/","No"
"615","Moving Stones Until Consecutive","1","Easy","https://leetcode.com/problems/moving-stones-until-consecutive/","No"
"616","Stream of Characters","3","Hard","https://leetcode.com/problems/stream-of-characters/","No"
"617","Maximum Sum of Two Non-Overlapping Subarrays","2","Medium","https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays/","No"
"618","Two City Scheduling","2","Medium","https://leetcode.com/problems/two-city-scheduling/","No"
"619","Matrix Cells in Distance Order","1","Easy","https://leetcode.com/problems/matrix-cells-in-distance-order/","No"
"620","Recover a Tree From Preorder Traversal","3","Hard","https://leetcode.com/problems/recover-a-tree-from-preorder-traversal/","No"
"621","Maximum Difference Between Node and Ancestor","2","Medium","https://leetcode.com/problems/maximum-difference-between-node-and-ancestor/","No"
"622","Longest Arithmetic Subsequence","2","Medium","https://leetcode.com/problems/longest-arithmetic-subsequence/","No"
"623","Divisor Game","1","Easy","https://leetcode.com/problems/divisor-game/","Yes"
"624","Video Stitching","2","Medium","https://leetcode.com/problems/video-stitching/","No"
"625","Camelcase Matching","2","Medium","https://leetcode.com/problems/camelcase-matching/","No"
"626","Sum of Root To Leaf Binary Numbers","1","Easy","https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/","No"
"627","Remove Outermost Parentheses","1","Easy","https://leetcode.com/problems/remove-outermost-parentheses/","No"
"628","Number of Enclaves","2","Medium","https://leetcode.com/problems/number-of-enclaves/","No"
"629","Next Greater Node In Linked List","2","Medium","https://leetcode.com/problems/next-greater-node-in-linked-list/","No"
"630","Binary Prefix Divisible By 5","1","Easy","https://leetcode.com/problems/binary-prefix-divisible-by-5/","No"
"631","Convert to Base -2","2","Medium","https://leetcode.com/problems/convert-to-base-2/","No"
"632","Binary String With Substrings Representing 1 To N","2","Medium","https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n/","No"
"633","Smallest Integer Divisible by K","2","Medium","https://leetcode.com/problems/smallest-integer-divisible-by-k/","No"
"634","Best Sightseeing Pair","2","Medium","https://leetcode.com/problems/best-sightseeing-pair/","No"
"635","Partition Array Into Three Parts With Equal Sum","1","Easy","https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum/","No"
"636","Numbers With Repeated Digits","3","Hard","https://leetcode.com/problems/numbers-with-repeated-digits/","No"
"637","Capacity To Ship Packages Within D Days","2","Medium","https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/","No"
"638","Pairs of Songs With Total Durations Divisible by 60","2","Medium","https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60/","No"
"639","Complement of Base 10 Integer","1","Easy","https://leetcode.com/problems/complement-of-base-10-integer/","No"
"640","Construct Binary Search Tree from Preorder Traversal","2","Medium","https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal/","No"
"641","Minimum Domino Rotations For Equal Row","2","Medium","https://leetcode.com/problems/minimum-domino-rotations-for-equal-row/","No"
"642","Clumsy Factorial","2","Medium","https://leetcode.com/problems/clumsy-factorial/","No"
"643","Maximize Sum Of Array After K Negations","1","Easy","https://leetcode.com/problems/maximize-sum-of-array-after-k-negations/","No"
"644","Max Consecutive Ones III","2","Medium","https://leetcode.com/problems/max-consecutive-ones-iii/","No"
"645","Check If Word Is Valid After Substitutions","2","Medium","https://leetcode.com/problems/check-if-word-is-valid-after-substitutions/","No"
"646","Find Common Characters","1","Easy","https://leetcode.com/problems/find-common-characters/","No"
"647","Grid Illumination","3","Hard","https://leetcode.com/problems/grid-illumination/","No"
"648","Minimum Cost to Merge Stones","3","Hard","https://leetcode.com/problems/minimum-cost-to-merge-stones/","No"
"649","Available Captures for Rook","1","Easy","https://leetcode.com/problems/available-captures-for-rook/","No"
"650","Maximum Binary Tree II","2","Medium","https://leetcode.com/problems/maximum-binary-tree-ii/","No"
"651","Find the Town Judge","1","Easy","https://leetcode.com/problems/find-the-town-judge/","Yes"
"652","Number of Squareful Arrays","3","Hard","https://leetcode.com/problems/number-of-squareful-arrays/","No"
"653","Minimum Number of K Consecutive Bit Flips","3","Hard","https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips/","No"
"654","Rotting Oranges","2","Medium","https://leetcode.com/problems/rotting-oranges/","No"
"655","Cousins in Binary Tree","1","Easy","https://leetcode.com/problems/cousins-in-binary-tree/","No"
"656","Subarrays with K Different Integers","3","Hard","https://leetcode.com/problems/subarrays-with-k-different-integers/","No"
"657","Broken Calculator","2","Medium","https://leetcode.com/problems/broken-calculator/","Yes"
"658","Satisfiability of Equality Equations","2","Medium","https://leetcode.com/problems/satisfiability-of-equality-equations/","No"
"659","Add to Array-Form of Integer","1","Easy","https://leetcode.com/problems/add-to-array-form-of-integer/","No"
"660","Smallest String Starting From Leaf","2","Medium","https://leetcode.com/problems/smallest-string-starting-from-leaf/","No"
"661","Vertical Order Traversal of a Binary Tree","3","Hard","https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/","No"
"662","Interval List Intersections","2","Medium","https://leetcode.com/problems/interval-list-intersections/","No"
"663","Sum of Even Numbers After Queries","1","Easy","https://leetcode.com/problems/sum-of-even-numbers-after-queries/","No"
"664","String Without AAA or BBB","2","Medium","https://leetcode.com/problems/string-without-aaa-or-bbb/","No"
"665","Minimum Cost For Tickets","2","Medium","https://leetcode.com/problems/minimum-cost-for-tickets/","No"
"666","Triples with Bitwise AND Equal To Zero","3","Hard","https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero/","No"
"667","Time Based Key-Value Store","2","Medium","https://leetcode.com/problems/time-based-key-value-store/","No"
"668","Unique Paths III","3","Hard","https://leetcode.com/problems/unique-paths-iii/","No"
"669","Distribute Coins in Binary Tree","2","Medium","https://leetcode.com/problems/distribute-coins-in-binary-tree/","No"
"670","Longest Turbulent Subarray","2","Medium","https://leetcode.com/problems/longest-turbulent-subarray/","No"
"671","Squares of a Sorted Array","1","Easy","https://leetcode.com/problems/squares-of-a-sorted-array/","Yes"
"672","Largest Perimeter Triangle","1","Easy","https://leetcode.com/problems/largest-perimeter-triangle/","No"
"673","Odd Even Jump","3","Hard","https://leetcode.com/problems/odd-even-jump/","No"
"674","Subarray Sums Divisible by K","2","Medium","https://leetcode.com/problems/subarray-sums-divisible-by-k/","No"
"675","K Closest Points to Origin","2","Medium","https://leetcode.com/problems/k-closest-points-to-origin/","No"
"676","Fibonacci Number","1","Easy","https://leetcode.com/problems/fibonacci-number/","No"
"677","Equal Rational Numbers","3","Hard","https://leetcode.com/problems/equal-rational-numbers/","No"
